episode_id,title,season,episode_number
1,Divide and Conquer,1,1
2,Final Exam,1,2
3,Masks,1,9
4,Apprentice Part I,1,12
5,Apprentice Part II,1,13
6,Terra,2,3
7,Betrayal,2,10
8,Birthmark,4,3
9,The End Part I,4,11
10,The End Part II,4,13
